phase_pct,hip_flex_mean(deg),hip_flex_sd(deg),hip_add_mean(deg),hip_add_sd(deg),hip_rot_mean(deg),hip_rot_sd(deg)
0.00,-30.845800,12.518157,-0.502652,2.741626,-22.298170,6.729887
1.00,-31.531292,11.692822,-0.150249,2.517806,-22.180582,6.459249
2.00,-32.161133,10.852226,0.164618,2.373301,-21.978746,6.239755
3.00,-32.728806,9.964788,0.399694,2.307034,-21.641005,6.053326
4.00,-33.387119,9.120921,0.559428,2.300173,-21.167480,5.864386
5.00,-34.044041,8.389487,0.628975,2.306630,-20.616961,5.701169
6.00,-34.701511,7.882791,0.608799,2.220215,-20.002121,5.581628
7.00,-35.338711,7.473081,0.576150,2.083760,-19.372118,5.563545
8.00,-36.062504,7.170341,0.644187,1.974645,-18.714689,5.608931
9.00,-36.589905,6.869881,0.772104,1.867178,-18.008024,5.697813
10.00,-36.990173,6.740310,0.832931,1.748346,-17.268967,5.826692
11.00,-37.051697,6.756186,0.766003,1.649575,-16.497784,5.997062
12.00,-36.767864,6.969655,0.557364,1.570506,-15.662019,6.216600
13.00,-36.262783,7.224596,0.254477,1.475384,-14.781137,6.465745
14.00,-35.742901,7.650315,-0.014025,1.482200,-13.899549,6.792816
15.00,-35.131783,8.120734,-0.167999,1.526191,-13.030777,7.202120
16.00,-34.388058,8.590569,-0.241296,1.573487,-12.149793,7.640257
17.00,-33.591576,9.074873,-0.242206,1.611261,-11.245751,8.062158
18.00,-32.680458,9.473281,-0.225705,1.615095,-10.317465,8.455072
19.00,-31.750793,9.738764,-0.225352,1.468047,-9.402948,8.827267
20.00,-30.734529,9.927363,-0.240423,1.262423,-8.503235,9.165360
21.00,-29.648241,10.044520,-0.313746,1.142685,-7.605855,9.464151
22.00,-28.541861,10.144622,-0.378589,1.119172,-6.719949,9.731574
23.00,-27.357134,10.201677,-0.444375,1.163255,-5.829377,9.973989
24.00,-26.150276,10.270638,-0.518352,1.307586,-4.940737,10.209323
25.00,-24.892977,10.335819,-0.620621,1.467987,-4.037808,10.419146
26.00,-23.621401,10.498023,-0.747134,1.584065,-3.138742,10.591760
27.00,-22.382591,10.767309,-0.849194,1.594365,-2.279265,10.751771
28.00,-21.246702,11.090076,-0.895101,1.593877,-1.495884,10.910797
29.00,-20.221056,11.446571,-0.897570,1.582245,-0.783068,11.071142
30.00,-19.336184,11.773118,-0.893122,1.572243,-0.131520,11.220503
31.00,-18.547583,12.052419,-0.905846,1.581861,0.486165,11.335203
32.00,-17.823868,12.345021,-0.913797,1.625288,1.069439,11.450120
33.00,-17.192293,12.648513,-0.911100,1.674940,1.609299,11.558980
34.00,-16.580505,12.948104,-0.892581,1.725711,2.111239,11.647955
35.00,-15.973136,13.264293,-0.867978,1.778917,2.589106,11.703186
36.00,-15.342692,13.553548,-0.859447,1.831297,3.038624,11.692380
37.00,-14.629293,13.754570,-0.890721,1.849910,3.487384,11.624104
