phase_pct,knee_flex_mean(deg),knee_flex_sd(deg),knee_add_mean(deg),knee_add_sd(deg),knee_rot_mean(deg),knee_rot_sd(deg)
0.00,-5.410254,19.864002,-2.106463,2.692695,-17.866556,2.907446
1.00,-6.149082,19.686928,-1.738579,2.768343,-18.452951,2.678411
2.00,-6.784714,19.473644,-1.387515,2.837228,-18.979156,2.735794
3.00,-7.322099,19.207901,-1.099399,2.823771,-19.370691,2.899930
4.00,-7.899775,18.766060,-1.024846,2.801148,-19.682772,3.043864
5.00,-8.499004,18.191257,-1.010774,2.762206,-19.924429,3.145553
6.00,-9.122511,17.471985,-1.091884,2.751973,-20.099655,3.304052
7.00,-9.641290,16.675312,-1.136459,2.743789,-20.247221,3.580127
8.00,-10.016078,15.845261,-1.181976,2.753291,-20.341816,3.936317
9.00,-10.159418,15.034644,-1.123109,2.760671,-20.326874,4.228797
10.00,-10.225544,14.250472,-1.043281,2.784564,-20.195389,4.501736
11.00,-10.239971,13.528447,-0.969754,2.780952,-19.928730,4.724071
12.00,-10.235927,12.842629,-1.030200,2.734868,-19.475853,4.928143
13.00,-10.223731,12.212427,-1.195442,2.594455,-18.870569,5.147493
14.00,-10.157209,11.650396,-1.446599,2.510975,-18.194313,5.427563
15.00,-9.967872,11.170034,-1.724072,2.521727,-17.494617,5.770250
16.00,-9.673717,10.726025,-1.917026,2.604182,-16.796364,6.118023
17.00,-9.280084,10.345992,-2.002816,2.692343,-16.083172,6.446696
18.00,-8.855847,10.012738,-2.015464,2.754466,-15.355988,6.756602
19.00,-8.457630,9.728951,-1.968430,2.741298,-14.624186,7.025820
20.00,-8.086707,9.489573,-1.941563,2.651083,-13.858738,7.220373
21.00,-7.766069,9.272676,-1.925979,2.564378,-13.068355,7.381894
22.00,-7.465490,9.113346,-2.023656,2.521613,-12.242725,7.534968
23.00,-7.140261,9.016176,-2.171815,2.435739,-11.385417,7.655822
24.00,-6.836706,8.925712,-2.337160,2.316775,-10.530725,7.779269
25.00,-6.561291,8.812727,-2.452013,2.192075,-9.694200,7.914041
26.00,-6.301369,8.717555,-2.496596,2.101096,-8.888422,8.038185
27.00,-6.069257,8.570197,-2.481324,1.996835,-8.122419,8.110438
28.00,-5.850138,8.393648,-2.427487,1.886674,-7.424993,8.176826
29.00,-5.669328,8.149157,-2.381176,1.780339,-6.774295,8.228285
30.00,-5.581989,7.813614,-2.382563,1.669626,-6.158892,8.272360
31.00,-5.565155,7.456382,-2.426476,1.557144,-5.543884,8.248539
32.00,-5.604887,7.070803,-2.501346,1.457213,-4.945218,8.208607
33.00,-5.706206,6.640988,-2.561284,1.420608,-4.392705,8.172642
34.00,-5.859095,6.192694,-2.607423,1.465258,-3.886686,8.125457
35.00,-6.076050,5.727130,-2.666478,1.560692,-3.429439,8.070400
36.00,-6.348887,5.332328,-2.693910,1.687149,-3.021679,7.984994
37.00,-6.667781,5.011571,-2.673238,1.792684,-2.645814,7.882566
38.00,-7.015347,4.782090,-2.596977,1.905905,-2.310505,7.769637
39.00,-7.420250,4.616657,-2.501135,2.042806,-2.003851,7.654868
40.00,-7.865528,4.545712,-2.366155,2.183215,-1.731459,7.546597
41.00,-8.382102,4.565296,-2.230340,2.262774,-1.504209,7.471889
42.00,-8.957535,4.752377,-2.091665,2.301873,-1.339845,7.416234
43.00,-9.613491,5.113299,-2.015174,2.358883,-1.206352,7.306383
44.00,-10.353641,5.646079,-1.982774,2.408879,-1.110338,7.162516
45.00,-11.194467,6.315146,-1.966588,2.367650,-1.045128,7.002681
46.00,-12.119196,7.101870,-1.973952,2.276450,-1.001208,6.854424
47.00,-13.189442,7.999174,-2.064812,2.220736,-0.912758,6.689113
48.00,-14.350090,8.966115,-2.188701,2.202384,-0.803507,6.530086
49.00,-15.657336,9.990692,-2.371506,2.224258,-0.665104,6.378628
50.00,-17.073006,11.084534,-2.583099,2.270270,-0.530809,6.235546
51.00,-18.560162,12.180010,-2.787193,2.298769,-0.408648,6.114997
52.00,-20.104109,13.272506,-2.889897,2.191958,-0.395475,5.927981
53.00,-21.670580,14.248487,-2.926969,2.025578,-0.526454,5.696347
54.00,-23.284636,15.181965,-2.927400,2.048152,-0.801207,5.672587
55.00,-24.990311,16.092083,-2.823303,2.311841,-1.272094,6.037400
56.00,-26.657810,16.897976,-2.744572,2.748322,-1.827375,6.703529
57.00,-28.321266,17.631002,-2.629394,3.117023,-2.482698,7.439489
58.00,-29.910654,18.248755,-2.413325,3.256464,-3.302214,7.936436
59.00,-31.457354,18.848425,-2.014304,3.556878,-4.432265,8.620006
60.00,-32.949158,19.379171,-1.591582,4.090668,-5.649465,9.654469
61.00,-34.294369,19.821775,-1.179291,4.610766,-6.859121,10.785227
62.00,-35.421783,20.203573,-0.781635,5.000896,-8.088210,11.782637
63.00,-36.267941,20.487572,-0.225357,5.058109,-9.581416,12.369801
64.00,-36.955887,20.681438,0.430676,4.798882,-11.289359,12.519628
65.00,-37.514568,20.832073,1.237388,4.393340,-13.312429,12.407458
66.00,-37.847763,20.939510,1.964321,3.905877,-15.314611,12.035619
67.00,-37.969440,20.988228,2.563424,3.565011,-17.181665,11.740204
68.00,-37.848545,20.960207,2.889376,3.507810,-18.634556,11.649599
69.00,-37.471107,20.847076,2.917399,3.628237,-19.615772,11.726369
70.00,-36.868355,20.695776,2.741893,3.831534,-20.296148,11.836971
71.00,-36.007900,20.477285,2.447788,4.144634,-20.859276,11.997646
72.00,-34.858891,20.182035,2.109471,4.600193,-21.399475,12.239100
73.00,-33.449318,19.818911,1.762799,5.156780,-21.900284,12.595481
74.00,-31.742798,19.405218,1.374459,5.676596,-22.230003,12.977298
75.00,-29.837729,18.979197,0.968317,5.974041,-22.280746,13.236728
76.00,-27.774693,18.589069,0.502176,6.037716,-22.035183,13.318043
77.00,-25.601227,18.207701,0.003209,5.750311,-21.474638,13.112707
78.00,-23.392479,17.833286,-0.555927,5.298782,-20.734997,12.734887
79.00,-21.162380,17.425962,-1.143912,4.642185,-19.856071,12.189894
80.00,-18.957033,16.975882,-1.738820,3.827044,-18.916182,11.517034
81.00,-16.760004,16.506348,-2.377026,3.058461,-17.949924,10.755902
82.00,-14.539582,16.023441,-3.064497,2.505319,-17.059731,9.989125
83.00,-12.323320,15.557546,-3.745018,2.152095,-16.265781,9.259476
84.00,-10.129180,15.118295,-4.351894,2.029472,-15.567739,8.609543
85.00,-8.084149,14.653932,-4.838885,2.062190,-14.958151,8.099382
86.00,-6.208967,14.278884,-5.165618,2.176236,-14.438092,7.688356
87.00,-4.624059,14.042971,-5.231115,2.091599,-14.002925,7.416794
88.00,-3.415411,13.986375,-5.096108,1.875599,-13.663339,7.257425
89.00,-2.540946,14.199238,-4.908176,1.646226,-13.350259,7.241539
90.00,-2.049812,14.663684,-4.737531,1.505233,-13.103969,7.335472
91.00,-1.744064,15.393804,-4.585275,1.484028,-12.902272,7.522798
92.00,-1.519736,16.320797,-4.422651,1.514320,-12.763173,7.765181
93.00,-1.293864,17.392860,-4.218234,1.600317,-12.730221,8.018888
94.00,-1.140275,18.416121,-3.903554,1.674707,-12.916214,8.028078
95.00,-1.185237,19.322681,-3.608185,1.762248,-13.233687,7.915450
96.00,-1.655916,20.028923,-3.294709,1.682785,-13.817038,7.349913
97.00,-2.406265,20.605860,-3.037453,1.674062,-14.495676,6.663853
98.00,-3.481657,20.930477,-2.796910,1.789966,-15.309951,5.750945
99.00,-4.662425,21.046463,-2.515795,2.038710,-16.159676,4.859601
100.00,-5.894678,21.084068,-2.220132,2.407712,-17.022501,4.042213
