phase_pct,knee_flex_mean(deg),knee_flex_sd(deg),knee_add_mean(deg),knee_add_sd(deg),knee_rot_mean(deg),knee_rot_sd(deg)
0.00,-24.290670,20.745567,7.664021,9.093372,-1.229887,6.705807
1.00,-25.438519,19.805510,7.700284,9.264426,-1.488734,6.231403
2.00,-26.528296,18.870626,7.632394,9.379592,-1.760944,5.740598
3.00,-27.580265,18.020290,7.400996,9.392543,-1.946450,5.458098
4.00,-28.545681,17.252544,7.178867,9.172882,-2.071830,5.411057
5.00,-29.413687,16.506266,6.930044,8.829930,-2.177001,5.449501
6.00,-30.080244,15.805473,6.731997,8.383474,-2.323576,5.468748
7.00,-30.642567,15.147128,6.451242,7.980981,-2.444977,5.409435
8.00,-31.036877,14.569195,6.198579,7.631040,-2.572149,5.306125
9.00,-31.266586,13.990140,5.805123,7.384503,-2.608025,5.084130
10.00,-31.253063,13.385336,5.361490,7.286655,-2.561479,4.848954
11.00,-30.927988,12.697790,4.879534,7.269205,-2.417006,4.536795
12.00,-30.232592,12.297716,4.497782,7.117271,-2.233409,4.201631
13.00,-29.416441,12.366677,4.220190,6.880658,-2.023483,3.979825
14.00,-28.452953,12.512119,4.087864,6.692742,-1.809748,3.770959
15.00,-27.347387,12.653463,4.085579,6.571485,-1.618855,3.602031
16.00,-26.190889,12.744813,4.072353,6.435929,-1.442864,3.468341
17.00,-25.064762,12.836714,3.987937,6.226340,-1.270834,3.369609
18.00,-23.958351,12.875135,3.837857,6.022982,-1.106578,3.299315
19.00,-22.959824,12.881316,3.609089,5.848970,-0.910303,3.241095
20.00,-21.973997,12.910915,3.325209,5.709260,-0.677505,3.174334
21.00,-20.966450,13.050598,3.031145,5.537780,-0.420689,3.081837
22.00,-19.895399,13.254312,2.777057,5.369319,-0.161329,2.995001
23.00,-18.805786,13.452782,2.643968,5.182670,0.059975,2.943087
24.00,-17.794804,13.619890,2.541357,4.960898,0.284591,2.904298
25.00,-16.914509,13.751009,2.453278,4.695713,0.499736,2.865041
26.00,-16.105240,13.850403,2.393274,4.448057,0.685958,2.864299
27.00,-15.410731,13.801125,2.335746,4.198834,0.863026,2.862868
28.00,-14.875192,13.715369,2.223289,3.922592,1.047879,2.820786
29.00,-14.484709,13.561390,2.083173,3.614852,1.242735,2.734305
30.00,-14.213589,13.311362,1.954705,3.328081,1.446981,2.643264
31.00,-14.030352,12.984826,1.888787,3.063864,1.650532,2.547829
32.00,-13.920806,12.612200,1.890255,2.848693,1.826720,2.482842
33.00,-13.925944,12.175244,1.951731,2.702622,1.968765,2.463458
34.00,-14.064933,11.732104,2.031572,2.604668,2.095779,2.465664
35.00,-14.350316,11.329473,2.093676,2.486386,2.237827,2.429910
36.00,-14.754803,10.994061,2.175104,2.393166,2.375083,2.403878
37.00,-15.211386,10.660056,2.294715,2.362338,2.502466,2.411076
38.00,-15.692887,10.304168,2.526172,2.408470,2.582278,2.525982
39.00,-16.305027,9.994284,2.767987,2.509753,2.667511,2.620341
40.00,-17.033285,9.774672,3.023403,2.640275,2.755615,2.641732
41.00,-17.918051,9.603709,3.253155,2.756747,2.845907,2.629087
42.00,-18.962030,9.638716,3.478784,2.888964,2.934266,2.623474
43.00,-20.174015,9.950487,3.686861,2.999846,3.041502,2.678241
44.00,-21.556660,10.569458,3.885691,3.113004,3.200135,2.764961
45.00,-23.106598,11.490758,4.071514,3.192559,3.439553,2.915329
46.00,-24.852285,12.724113,4.253610,3.300476,3.755196,3.176836
47.00,-26.805824,14.211956,4.466409,3.468257,4.201441,3.622715
48.00,-28.804382,15.716665,4.773075,3.741663,4.669356,4.120829
49.00,-30.891800,17.190273,5.196812,4.048011,5.212586,4.601475
50.00,-32.823849,18.339016,5.807035,4.566323,5.667953,4.832024
51.00,-34.750904,19.416113,6.552217,5.316867,6.131658,5.032590
52.00,-36.555210,20.330029,7.465547,6.240955,6.496626,5.149344
53.00,-38.351040,21.104395,8.529176,7.171834,6.864450,5.280644
54.00,-40.146130,21.809393,9.606559,8.056231,7.250907,5.404223
55.00,-41.977547,22.403574,10.571371,8.805129,7.725775,5.464670
56.00,-43.799145,22.965748,11.538033,9.561748,8.253793,5.472842
57.00,-45.643482,23.538736,12.505472,10.250576,8.870339,5.504268
58.00,-47.417973,24.201180,13.533131,10.752287,9.542931,5.613988
59.00,-48.967953,24.889908,14.675253,11.108104,10.101950,5.727409
60.00,-50.076645,25.396425,15.880186,11.262587,10.358338,5.693966
61.00,-50.773811,25.701220,17.112591,11.245157,10.334931,5.518069
62.00,-51.178677,25.920677,18.302780,11.172741,10.113056,5.285214
63.00,-51.452869,26.124933,19.430729,11.049726,9.837403,5.170758
64.00,-51.672962,26.267714,20.348787,10.934503,9.613298,5.224321
65.00,-51.903172,26.339842,20.944481,10.838610,9.541509,5.460331
66.00,-52.105167,26.388107,21.116905,10.748314,9.599955,5.774645
67.00,-52.289406,26.373365,20.967449,10.742717,9.729048,6.052924
68.00,-52.334621,26.218166,20.546476,10.819010,9.732857,6.101874
69.00,-52.202633,25.839809,19.893274,11.008586,9.527168,5.900463
70.00,-51.885532,25.331770,19.043213,11.311380,9.162491,5.483121
71.00,-51.326508,24.666716,17.987450,11.684343,8.599895,4.984488
72.00,-50.522507,23.881289,16.738747,12.024684,8.013759,4.527494
73.00,-49.515034,23.057264,15.322297,12.237315,7.517485,4.236801
74.00,-48.187992,22.347696,13.749735,12.168570,7.138785,4.132818
75.00,-46.595158,21.912695,12.134569,11.757663,6.823984,4.182612
76.00,-44.702888,21.864838,10.533421,11.039495,6.462776,4.267745
77.00,-42.579014,22.159147,9.063714,9.963199,6.040277,4.301252
78.00,-40.347790,22.722162,7.737000,8.683250,5.561750,4.275108
79.00,-38.015411,23.412138,6.566009,7.276533,5.071211,4.194800
80.00,-35.656349,23.899891,5.520606,5.926256,4.581391,4.030353
81.00,-33.159767,24.139753,4.610353,4.832337,4.076135,3.827422
82.00,-30.589567,24.029306,3.809697,4.084040,3.602700,3.673321
83.00,-28.043734,23.659567,3.146998,3.729300,3.145472,3.612247
84.00,-25.485569,22.937078,2.628534,3.892068,2.686027,3.607248
85.00,-22.937157,21.786272,2.318733,4.286099,2.219482,3.725468
86.00,-20.511591,20.700388,2.208672,4.658785,1.789818,3.954688
87.00,-18.357300,19.766077,2.409349,4.759557,1.417959,4.201554
88.00,-16.700665,19.511805,2.836351,4.630916,1.210785,4.557751
89.00,-15.439711,19.915949,3.485379,4.518942,1.066056,4.855943
90.00,-14.724878,20.737938,4.262205,4.517014,0.973752,5.116158
91.00,-14.319485,21.856279,5.001979,4.728672,0.865892,5.365429
92.00,-14.192471,23.038322,5.692202,5.150961,0.719150,5.636013
93.00,-14.447012,23.886230,6.230467,5.721076,0.505373,5.758889
94.00,-15.058952,24.575310,6.663202,6.248613,0.333802,5.973298
95.00,-16.032024,24.871702,7.135870,6.871938,0.096361,6.103523
96.00,-17.414934,24.743668,7.588078,7.470310,-0.151234,6.243775
97.00,-19.051123,24.362133,7.953648,8.068714,-0.352861,6.391695
98.00,-21.028807,23.755917,8.154481,8.573714,-0.407988,6.646999
99.00,-22.954033,23.058685,8.247652,8.995123,-0.425807,6.882410
100.00,-24.785072,22.339632,8.319045,9.418504,-0.451236,7.140512
