sep=,
DeviceTag:,DEMO6_4,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.9.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-02-09 22:14:52.177 -0600,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 468385410, 0.39153945, 0.40904662, 0.63927305, 0.5203026, -0.0581089, 0.065189116, -0.028636932
2, 468402077, 0.39178878, 0.4092685, 0.63902736, 0.5202421, -0.07972394, 0.08447795, -0.008620262
3, 468418744, 0.3919439, 0.40937784, 0.63886344, 0.52024037, -0.06380021, 0.09130716, 0.025184631
4, 468435411, 0.39208037, 0.40949222, 0.6387035, 0.52024394, -0.053520624, 0.053359695, 0.03519249
5, 468452078, 0.39217737, 0.4095545, 0.6385836, 0.520269, -0.018064763, -0.022634597, -0.001294136
6, 468468745, 0.39224225, 0.40963197, 0.6384829, 0.5202827, -0.005840617, 0.03679515, 0.017266273
7, 468485412, 0.3922272, 0.40964139, 0.6384567, 0.52031875, -0.0018102315, 0.109453626, -0.024542809
8, 468502079, 0.39210302, 0.40958863, 0.63852, 0.5203762, -0.011359375, 0.1249899, -0.027719498
9, 468518746, 0.39193097, 0.40950254, 0.6386247, 0.5204448, -0.014304158, 0.045193203, -0.039071083
10, 468535413, 0.391802, 0.4094887, 0.6387042, 0.5204554, -0.041485347, 0.030005272, 0.032971382
11, 468552080, 0.39164373, 0.4094111, 0.6388141, 0.5205007, -0.050606687, 0.058505632, 0.032094955
12, 468568747, 0.3914471, 0.40929648, 0.6389558, 0.5205652, -0.07354956, 0.05348561, 0.02396679
